date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,lat,long,price
2014-01-01,3,3.25,2248,2998.800675934711,1,0,0,4,7,1951,1990,47.55359884160173,-122.02951673023972,790341
2014-01-02,5,2.5,1930,2477.452745476314,2,0,3,3,9,2005,2003,47.72959972928036,-122.3646249650658,771777
2014-01-03,4,2.5,2323,3970.341975751894,1,0,2,3,10,1966,0,47.73589654184082,-122.0182522551087,842614
2014-01-04,5,2.25,2761,4873.663584664268,1,0,4,2,9,2009,1993,47.66996920096904,-122.03147081316128,1034859
2014-01-05,5,2.25,1882,2305.9560996494865,1,0,1,2,10,1985,0,47.78719408395741,-122.37840028312759,755614
2014-01-06,2,2.75,1882,3667.961157944499,1,0,0,4,6,2010,2003,47.59544898112679,-122.25587154492338,707027
2014-01-07,3,3.5,2789,3462.758328083165,2,0,2,3,10,1966,2000,47.5658857136438,-122.07474264388027,1047176
2014-01-08,4,1.5,2383,3891.5273336179607,2,0,4,4,7,1998,1997,47.703240030680334,-122.15536938180824,899459
2014-01-09,2,3.0,1765,3119.193453464694,2,0,2,4,10,2009,2012,47.72752259223991,-122.0883624226473,748144
2014-01-10,2,1.75,2271,4307.576704021888,2,0,4,3,8,1969,0,47.567471791165545,-122.11238666448405,839990
2014-01-11,2,2.0,1768,3131.604556808106,2,0,3,4,7,1999,2004,47.52298322927833,-122.20129195474914,700488
2014-01-12,5,1.5,1767,3253.7228182274575,1,1,2,3,6,1952,1999,47.74315494597591,-122.38351278161933,681916
2014-01-13,3,3.0,2120,3119.707526552599,2,0,2,3,7,1992,2007,47.7929505920938,-122.16629271917421,791594
2014-01-14,3,3.5,1043,1931.4900749100898,2,0,2,3,8,2006,1994,47.693401685821684,-122.38057333877629,509805
2014-01-15,4,1.5,1137,1437.2724642715004,2,0,3,3,6,1999,1999,47.58336007004317,-122.15850931298596,518531
2014-01-16,3,2.0,1718,3291.4360120895894,1,0,0,1,9,1999,0,47.79900178256583,-122.07983565500253,644077
2014-01-17,3,2.0,1493,2445.6443340780224,1,0,4,3,8,1986,2004,47.76797999088012,-122.16600330051924,631943
2014-01-18,2,3.25,2157,3998.7290318472787,2,1,2,2,6,1995,0,47.65401419388409,-122.00119127817533,847302
2014-01-19,2,1.25,1545,2413.065399664619,1,0,3,2,12,1991,2006,47.747596385452546,-122.21765339992783,623183
2014-01-20,5,2.25,1293,2217.3167679112853,1,1,0,2,10,1964,2008,47.744746156978884,-122.10046901455841,602720
2014-01-21,2,2.5,2732,4428.905655741969,2,1,4,3,7,1982,2008,47.78043969090205,-122.13311468330323,1031938
